Title,Author,Quote
Fight Club,Chuck Palahniuk,"“Maybe self-improvement isn't the answer, maybe self-destruction is the answer.”"
Fight Club,Chuck Palahniuk,It's only after we've lost everything that we're free to do anything.
Fight Club,Chuck Palahniuk,"""Without their death, their pain, without their sacrifice... we would have nothing."""
Fight Club,Chuck Palahniuk,"""You just do your little job"""
Fight Club,Chuck Palahniuk,"In a hundred cities, fight club goes on without me."
Fight Club,Chuck Palahniuk,"“Maybe self-improvement isn't the answer, maybe self-destruction is the answer.”"
Fight Club,Chuck Palahniuk,It's only after we've lost everything that we're free to do anything.
Fight Club,Chuck Palahniuk,"""Without their death, their pain, without their sacrifice... we would have nothing."""
Fight Club,Chuck Palahniuk,"""You just do your little job"""
Fight Club,Chuck Palahniuk,"In a hundred cities, fight club goes on without me."
Fight Club,Chuck Palahniuk,“The fifth rule of Project mayhem is you have to trust Tyler”
Fight Club,Chuck Palahniuk,“The second rule of project mayhem is you don’t ask questions”
Fight Club,Chuck Palahniuk,“The first rule of project mayhem is you don’t ask questions”
Fight Club,Chuck Palahniuk,“I want you to do me a favor. I want you to hit me as hard as you can”
Fight Club,Chuck Palahniuk,“I don’t wanna die without any scars”
Fight Club,Chuck Palahniuk,"“The things you used to own, now they own you.”"
Fight Club,Chuck Palahniuk,"“After you’ve been to fight club, watching football on television is watching pornography when you could be having great sex”"
Fight Club,Chuck Palahniuk,"“You are not your job, you're not how much money you have in the bank. You are not the car you drive. You're not the contents of your wallet. You are not your fucking khakis. You are all singing, all dancing crap of the world.”"
Fight Club,Chuck Palahniuk,"""I know this because Tyler knows this."""
Fight Club,Chuck Palahniuk,"“The lower you fall, the higher you'll fly.”"
Fight Club,Chuck Palahniuk,"""I found freedom. Losing all hope was freedom."""
Fight Club,Chuck Palahniuk,“May I never be complete. May I never be content. May I never be perfect.”
Fight Club,Chuck Palahniuk,"""Slaves with white collars"""
Fight Club,Chuck Palahniuk,"“Maybe self-improvement isn't the answer, maybe self-destruction is the answer.”"
Fight Club,Chuck Palahniuk,It's only after we've lost everything that we're free to do anything.
The Girl with the Dragon Tattoo,Stieg Larsson,"""The killer tied her up and stuck her head into the smoldering embers of a fireplace. She was raped and murdered"""
The Girl with the Dragon Tattoo,Stieg Larsson,"""She was raped and strangled to death. The killer concluded his barbarities by shoving a parakeet up her vagina and then let all the animals out into the shop. Cats, turtles, white mice, rabbits, birds. Even the fish in the aquarium. So it was quite an appalling scene her sister encountered in the morning."""
The Girl with the Dragon Tattoo,Stieg Larsson,"""On the porch lay the half-charred corpse of a cat. The cat’s legs and head had been cut off, then the body had been flayed and the guts and stomach removed, flung next to the corpse, which seemed to have been roasted over a fire. The cat’s head was intact, on the saddle of Salander’s motorcycle."""
The Girl with the Dragon Tattoo,Stieg Larsson,"""Ninety-two percent of women in Sweden who have been subjected to sexual assault have not reported the most recent violent incident to the police""."
